Pathway	KEGG_ortholog	Step	Description
Heme	K14163	B_1_b	EPRS; bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15] 
Heme	K01885	B_1_a	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17] 
Heme	K01772	A_8_a:B_10_a	hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9] 
Heme	K00231	A_7_c:B_9_c	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15] 
Heme	K00230	A_7_b:B_9_b	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3] 
Heme	K08973	A_7_a:B_9_a	hemJ; protoporphyrinogen IX oxidase [EC:1.3.99.-] 
Heme	K02495	A_6_b:B_8_b	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3] 
Heme	K00228	A_6_a:B_8_a	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3] 
Heme	K01599	A_5_a:B_7_a	hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37] 
Heme	K13543	A_4_c:B_6_c	hemDX; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] 
Heme	K13542	A_4_b:B_6_b	cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] 
Heme	K01719	A_4_a:B_6_a	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75] 
Heme	K01749	A_3_a:B_5_a	hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61] 
Heme	K01698	A_2_a:B_4_a	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24] 
Heme	K00643	A_1_a	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37] 
Vitamin B12	K00643	A_1_a:C_1_a	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37] 
Vitamin B12	K05936	A_10_a:B_12_a:C_9_a:D_11_a	cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271] 
Vitamin B12	K02189	A_11_a:B_13_a	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12] 
Vitamin B12	K02188	A_12_a:B_14_a	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195] 
Vitamin B12	K05895	A_13_a:B_15_a:C_11_a:D_13_a	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106] 
Vitamin B12	K00595	A_14_b:B_16_b:A_15_b:B_17_b:C_12_a:D_14_a	cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC: 
Vitamin B12	K03399	A_15_a:B_17_a	cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289] 
Vitamin B12	K06042	A_16_a:B_18_a:C_13_a:D_15_a	cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60] 
Vitamin B12	K02224	A_17_a:B_19_a:C_14_a:D_16_a	cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11] 
Vitamin B12	K13786	A_18_a_1-2:B_20_a_1-2:A_18_b_1-2:B_20_b_1-2:C_16_a_1-2:D_18_a_1-2:C_16_b_1-2:D_18_b_1-2:C_16_d:D_18_d	cobR; cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-] 
Vitamin B12	K19221	A_18_a_2-2:B_20_a_2-2:A_18_d:B_20_d:C_16_a_2-2:D_18_a_2-2	cobA, btuR; cob(I)alamin adenosyltransferase [EC:2.5.1.17] 
Vitamin B12	K00798	A_18_b_2-2:B_20_b_2-2:A_18_c:B_20_c:C_16_b_2-2:D_18_b_2-2:C_16_c:D_18_c	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17] 
Vitamin B12	K02232	A_19_a:B_21_a:C_17_a:D_19_a	cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10] 
Vitamin B12	K01698	A_2_a:C_2_a:B_4_a:D_4_a	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24] 
Vitamin B12	K02225	A_20_a:B_22_a:C_18_a:D_20_a	cobC1, cobC; cobalamin biosynthesis protein CobC 
Vitamin B12	K02227	A_20_b:B_22_b:C_18_b:D_20_b	cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10] 
Vitamin B12	K02231	A_21_a:B_23_a:C_19_a:D_21_a	cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.1 
Vitamin B12	K19712	A_21_b:B_23_b:C_19_b:D_21_b	cobY; adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62] 
Vitamin B12	K02233	A_22_a:B_24_a:C_20_a:D_22_a	E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26] 
Vitamin B12	K01749	A_3_a:C_3_a:B_5_a:D_5_a	hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61] 
Vitamin B12	K01719	A_4_a:C_4_a:B_6_a:D_6_a	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75] 
Vitamin B12	K13542	A_4_b:C_4_b:B_6_b:D_6_b:A_5_b:C_5_b:B_7_b:D_7_b	cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] 
Vitamin B12	K13543	A_4_c:C_4_c:B_6_c:D_6_c:A_5_a:C_5_a:B_7_a:D_7_a	hemDX; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75] 
Vitamin B12	K00589	A_5_c:C_5_c:B_7_c:D_7_c	MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107] 
Vitamin B12	K02303	A_5_d:C_5_d:B_7_d:D_7_d	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107] 
Vitamin B12	K02496	A_5_e:C_5_e:B_7_e:D_7_e	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107] 
Vitamin B12	K02304	A_6_a:B_8_a	MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4] 
Vitamin B12	K24866	A_6_b:B_8_b	sirC; precorrin-2 dehydrogenase [EC:1.3.1.76] 
Vitamin B12	K02302	A_6_c:B_8_c:A_5_f:C_5_f:B_7_f:D_7_f	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochela 
Vitamin B12	K02190	A_7_a:B_9_a	cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3] 
Vitamin B12	K02191	A_14_a:B_16_a	cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196] 
Vitamin B12	K03795	A_7_b:B_9_b	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3] 
Vitamin B12	K22011	A_7_c:B_9_c	cfbA; sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11] 
Vitamin B12	K03394	A_8_a:B_10_a:C_6_a:D_8_a	cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151] 
Vitamin B12	K13540	A_8_b:B_10_b:C_6_b:D_8_b:C_8_b:D_10_b	cobIJ; precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.13 
Vitamin B12	K05934	A_9_a:B_11_a:C_8_a:D_10_a	cobJ, cbiH; precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2 
Vitamin B12	K13541	A_9_b:B_11_b:A_11_b:B_13_b:C_8_c:D_10_c	cbiGH-cobJ; cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-m 
Vitamin B12	K21479	A_9_c:B_11_c	cbiH60; cobalt-factor III methyltransferase [EC:2.1.1.272] 
Vitamin B12	K01885	B_1_a:D_1_a	EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17] 
Vitamin B12	K14163	B_1_b:D_1_b	EPRS; bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15] 
Vitamin B12	K02492	B_2_a:D_2_a	hemA; glutamyl-tRNA reductase [EC:1.2.1.70] 
Vitamin B12	K01845	B_3_a:D_3_a	hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] 
Vitamin B12	K02228	C_10_a:D_12_a	cobF; precorrin-6A synthase [EC:2.1.1.152] 
Vitamin B12	K02230	C_15_a:D_17_a	cobN; cobaltochelatase CobN [EC:6.6.1.2] 
Vitamin B12	K09882	C_15_b:D_17_b	cobS; cobaltochelatase CobS [EC:6.6.1.2] 
Vitamin B12	K09883	C_15_c:D_17_c	cobT; cobaltochelatase CobT [EC:6.6.1.2] 
Vitamin B12	K02229	C_7_a:D_9_a	cobG; precorrin-3B synthase [EC:1.14.13.83] 
TCA cycle	K15230	A_1_a_1-2	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8] 
TCA cycle	K15231	A_1_a_2-2	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8] 
TCA cycle	K01647	A_1_b	CS, gltA; citrate synthase [EC:2.3.3.1] 
TCA cycle	K05942	A_1_c	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3] 
TCA cycle	K01648	A_1_d	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8] 
TCA cycle	K01682	A_2_a	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 
TCA cycle	K01681	A_2_b	ACO, acnA; aconitate hydratase [EC:4.2.1.3] 
TCA cycle	K17753	A_3_a	HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286] 
TCA cycle	K00031	A_3_b	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42] 
TCA cycle	K00030	A_3_c	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] 
TCA cycle	K00164	A_4_a_1-2	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 
TCA cycle	K00658	A_4_a_2-2	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3 
TCA cycle	K01616	A_4_b	kgd; multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61] 
TCA cycle	K00174	A_4_c_1-2:A_4_d_1-4	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
TCA cycle	K00175	A_4_c_2-2:A_4_d_2-4	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
TCA cycle	K00176	A_4_d_3-4	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] 
TCA cycle	K00177	A_4_d_4-4	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] 
TCA cycle	K01899	A_5_a_1-2	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 
TCA cycle	K01900	A_5_a_2-2	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 
TCA cycle	K01902	A_5_b_1-2	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] 
TCA cycle	K01903	A_5_b_2-2	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5] 
TCA cycle	K18118	A_5_c	aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] 
TCA cycle	K00239	A_6_a_1-4:A_6_d_1-4:A_6_e_1-4	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] 
TCA cycle	K00240	A_6_a_2-4:A_6_d_2-4:A_6_e_2-4	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] 
TCA cycle	K00241	A_6_a_3-4:A_6_d_3-4:A_6_e_3-4	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit 
TCA cycle	K00242	A_6_a_4-4	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit 
TCA cycle	K00244	A_6_b_1-4:A_6_f_1-4:A_6_g_1-4	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4] 
TCA cycle	K00245	A_6_b_2-4:A_6_f_2-4:A_6_g_2-4	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4] 
TCA cycle	K00246	A_6_b_3-4:A_6_f_3-4:A_6_g_3-4	frdC; fumarate reductase subunit C 
TCA cycle	K00247	A_6_b_4-4	frdD; fumarate reductase subunit D 
TCA cycle	K00234	A_6_c_1-4	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 
TCA cycle	K00235	A_6_c_2-4	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] 
TCA cycle	K00236	A_6_c_3-4	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit 
TCA cycle	K00237	A_6_c_4-4	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit 
TCA cycle	K18860	A_6_d_4-4:A_6_f_4-4	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D 
TCA cycle	K18859	A_6_e_4-4:A_6_g_4-4	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D 
TCA cycle	K01677	A_7_a_1-2	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2] 
TCA cycle	K01678	A_7_a_2-2	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2] 
TCA cycle	K01676	A_7_b	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2] 
TCA cycle	K01679	A_7_c	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2] 
TCA cycle	K01774	A_7_d	fumE; fumarate hydratase E [EC:4.2.1.2] 
TCA cycle	K01675	A_7_e	fumD; fumarate hydratase D [EC:4.2.1.2] 
TCA cycle	K00116	A_8_a	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4] 
TCA cycle	K00024	A_8_b	mdh; malate dehydrogenase [EC:1.1.1.37] 
TCA cycle	K00025	A_8_c	MDH1; malate dehydrogenase [EC:1.1.1.37] 
TCA cycle	K00026	A_8_d	MDH2; malate dehydrogenase [EC:1.1.1.37] 
PPP	K00036	A_1_a	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] 
PPP	K18124	A_1_b	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360] 
PPP	K18125	A_1_c	ssgdh; aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359] 
PPP	K19243	A_1_d	azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388] 
PPP	K01057	A_2_a	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31] 
PPP	K07404	A_2_b	pgl; 6-phosphogluconolactonase [EC:3.1.1.31] 
PPP	K13937	A_2_c	H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] 
PPP	K00033	A_3_a	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] 
PPP	K01783	A_4_a	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1] 
PPP	K01807	A_4_b	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6] 
PPP	K01808	A_4_c	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6] 
PPP	K00615	A_5_a	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1] 
PPP	K00850	A_6_a	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11] 
PPP	K16370	A_6_b	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11] 
PPP	K21071	A_6_c	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 
PPP	K24182	A_6_d	PFK9; 6-phosphofructokinase [EC:2.7.1.11] 
PPP	K00895	A_6_e	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90] 
PPP	K00918	A_6_f	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147] 
PPP	K01622	A_7_a	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] 
PPP	K01623	A_7_b	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 
PPP	K01624	A_7_c	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13] 
PPP	K11645	A_7_d	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 
PPP	K16305	A_7_e	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2. 
PPP	K16306	A_7_f	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4 
ED	K13937	A_2_c	H6PD; hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] 
ED	K07404	A_2_b	pgl; 6-phosphogluconolactonase [EC:3.1.1.31] 
ED	K01057	A_2_a	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31] 
ED	K19243	A_1_d	azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388] 
ED	K18125	A_1_c	ssgdh; aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359] 
ED	K18124	A_1_b	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360] 
ED	K00036	A_1_a	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] 
ED	K01690	A_3_a	edd; phosphogluconate dehydratase [EC:4.2.1.12] 
ED	K11395	A_4_a	kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2. 55]
ED	K17463	A_4_b	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14] 
Purine	K00764	A_1_a	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14] 
Purine	K11176	A_10_a	purO; IMP cyclohydrolase [EC:3.5.4.10] 
Purine	K01945	A_2_a	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13] 
Purine	K13713	A_2_b:A_7_b	purCD; fusion protein PurCD [EC:6.3.2.6 6.3.4.13] 
Purine	K11787	A_2_c:A_3_e:A_5_b	GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphorib 
Purine	K11788	A_2_d:A_5_c	ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4 
Purine	K00601	A_3_a	E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] 
Purine	K11175	A_3_b	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2] 
Purine	K08289	A_3_c	purT; phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21] 
Purine	K01492	A_3_d:A_9_b	purNH; phosphoribosylglycinamide/phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2 
Purine	K01952	A_4_a	PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] 
Purine	K23264	A_4_b	purS; phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3] 
Purine	K23265	A_4_c	purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2] 
Purine	K23269	A_4_d	purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3] 
Purine	K23270	A_4_e	purSL; phosphoribosylformylglycinamidine synthase subunit PurSL [EC:6.3.5.3] 
Purine	K01933	A_5_a	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] 
Purine	K11808	A_6_a	ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21] 
Purine	K01589	A_6_b_1-2	purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18] 
Purine	K01588	A_6_b_2-2	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] 
Purine	K01587	A_6_c:A_7_c	PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide sy 
Purine	K01923	A_7_a	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] 
Purine	K01756	A_8_a	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2] 
Purine	K06863	A_9_c	purP; 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6. 
Purine	K00602	A_9_a:A_10_b	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5 
Pyrimidine	K01954	A_1_a	K01954; carbamoyl-phosphate synthase [EC:6.3.5.5] 
Pyrimidine	K01955	A_1_b_1-2	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5] 
Pyrimidine	K01956	A_1_b_2-2	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5] 
Pyrimidine	K11540	A_1_c:A_2_d	CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1. 
Pyrimidine	K11541	A_1_d:A_2_a:A_3_b	URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2] 
Pyrimidine	K00608	A_2_b	pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2] 
Pyrimidine	K00609	A_2_c	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] 
Pyrimidine	K01465	A_3_a	URA4, pyrC; dihydroorotase [EC:3.5.2.3] 
Pyrimidine	K17828	A_4_a	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14] 
Pyrimidine	K00226	A_4_b	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1] 
Pyrimidine	K00254	A_4_c	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2] 
Pyrimidine	K02823	A_4_d	pyrDII; dihydroorotate dehydrogenase electron transfer subunit 
Pyrimidine	K00762	A_5_a	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10] 
Pyrimidine	K13421	A_5_b:A_6_a	UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23] 
Pyrimidine	K01591	A_6_b	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] 
Thiamine	K03147	A_1_a	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17] 
Thiamine	K18278	A_1_b	THI5; pyrimidine precursor biosynthesis enzyme 
